Backup job summary,,,,,,,,,,,,,
 Report generated on Jan 6,2022, 4:00:46 AM,,,,,,,,,,,
,,,,,,,,,,,,,
Job Details,,,,,,,,,,,,,
Job ID,Server,Agent,BackupSet,Subclient,Backup Type,Start Time,Job status,MediaAgent,Failure Reason,Virtualization Client,,,
7923547,indlin,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 04:00:23 AM",Running,,,,,,
7923546,indli,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 04:00:21 AM",Running,,,,,,
7923545,indlin2,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 04:00:20 AM",Delayed,,,,,,
7923544,inlin500,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 04:00:19 AM",Running,,,,,,
7923543,ilin116,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 04:00:16 AM",Running,,,,,,
7923542,ielcvhs3,Linux File System,,DDBBackup,,"Jan 6, 2022, 04:00:13 AM",Delayed,,The number of running Synthetic Full jobs has exceeded the limit,,,,
7923541,inlcvhs0,Linux File System,,DDBBackup,,"Jan 6, 2022, 04:00:13 AM",Delayed,,The number of running Synthetic Full jobs has exceeded the limit,,,,
7923540,indel,Linux File System,,DDBBackup,,"Jan 6, 2022, 04:00:13 AM",Delayed,,,,,,
7923539,inpnqcv,Linux File System,,DDBBackup,,"Jan 6, 2022, 04:00:13 AM",Running,,,,,,
7923538,inpnqcv,Virtual Server,,DDBBackup,,"Jan 6, 2022, 04:00:13 AM",Running,,,,,,
7923537,inpnqcv,Virtual Server,,DDBBackup,,"Jan 6, 2022, 04:00:13 AM",Running,,,,,,
7923536,inpnqcv7,Virtual Server,,DDBBackup,,"Jan 6, 2022, 04:00:13 AM",Delayed,,Number of active streams for running jobs reaches the limit,,,,
7923535,inpnqcv8,Virtual Server,,DDBBackup,,"Jan 6, 2022, 04:00:13 AM",Delayed,,Number of active streams for running jobs reaches the limit,,,,
7923534,inpnqcv9,Virtual Server,,DDBBackup,,"Jan 6, 2022, 04:00:13 AM",Delayed,,Number of active streams for running jobs reaches the limit,,,,
7923533,inpnqcv10,Virtual Server,,DDBBackup,,"Jan 6, 2022, 04:00:12 AM",Running,,,,,,
7923532,inpnqcv11,Virtual Server,,DDBBackup,,"Jan 6, 2022, 04:00:12 AM",Running,,Failed to enable changed block tracking ,,,,
7923531,inpnqcv12,Virtual Server,,DDBBackup,,"Jan 6, 2022, 04:00:12 AM",Running,,Failed to enable changed block tracking ,,,,
7923530,inpm20,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:12 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923529,inpm19,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:11 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923528,inpm18,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:12 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923527,inpm17,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:11 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923526,inpm16,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:11 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923525,inpm15,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:11 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923524,inpm14,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:11 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923521,mlkm01,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:11 AM",Running,,,,,,
7923520,am01,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",Delayed,,,,,,
7923519,inpnqm11,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923518,indd14,Linux File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",Completed with errors,,Another Backup is already running,,,,
7923516,inam10,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:11 AM",Running,,,,,,
7923515,inm09,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923514,inpna01,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:11 AM",Running,,,,,,
7923513,inpm08,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923512,inpm07,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923511,inpm06,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923510,inpm05,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923509,inpm04,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923508,inpm03,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:11 AM",Running,,,,,,
7923507,inpm02,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923506,inpm01,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923505,indam02,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923504,indm01,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923503,incm01,Windows File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923502,inpnqm02,Linux File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923501,incm01,Linux File System,,DDBBackup,,"Jan 6, 2022, 04:00:10 AM",Running,,,,,,
7923500,in657,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 04:00:13 AM",Running,,,,,,
7923499,indlin,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 04:00:14 AM",Running,,,,,,
7923498,in74,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 04:00:14 AM",Running,,,,,,
7923497,ind206,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 04:00:12 AM",Running,,,,,,
7923493,in27,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 04:00:11 AM",Running,,,,,,
7923492,indli66,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 04:00:19 AM",Delayed,,,,,,
7923491,in8,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 04:00:09 AM",Running,,,,,,
7923490,in84,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 04:00:06 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
7923487,indlin,Linux File System,,OracleDB,,"Jan 6, 2022, 03:51:55 AM",Completed,,,,,,
7923486,indlin,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 03:51:49 AM",Completed,,,,,,
7923485,ind24,Linux File System,,ArchiveLogs,,"Jan 6, 2022, 03:30:15 AM",No Run,,Another backup is running for client .<br>Source: JobManager,,,,
,,,,,,,,,,,,,
Databases in SQL Server and Sybase Backup Jobs,,,,,,,,,,,,,
JobId,Server,Agent,Instance,BackupSet,Subclient,Type,Backup Type,Start Time,End Time,Storage Policy,Database Name,Database Size,Job status
